"","genus","epiteth"
"1","Eucalyptus","alba"
"2","Eucalyptus","benthamii"
"3","Eucalyptus","camaldulensis"
"4","Eucalyptus","cinerea"
"5","Eucalyptus","cloeziana"
"6","Eucalyptus","crebra"
"7","Eucalyptus","globulus"
"8","Eucalyptus","grandis"
"9","Eucalyptus","saligna"
"10","Eucalyptus","globulus"
"11","Eucalyptus","microcorys"
"12","Eucalyptus","obliqua"
"13","Eucalyptus","nitens"
"14","Eucalyptus","pellita"
"15","Eucalyptus","nigra"
"16","Eucalyptus","planchoniana"
"17","Eucalyptus","punctata"
"18","Eucalyptus","robusta"
"19","Eucalyptus","rudis"
"20","Eucalyptus","carnea"
"21","Eucalyptus","andrewsii"
"22","Eucalyptus","tereticornis"
"23","Eucalyptus","siderophloia"
"24","Eucalyptus","umbra"
"25","Eucalyptus","urophylla"
"26","Eucalyptus","miniata"
"27","Eucalyptus","orgadophila"
"28","Eucalyptus","phoenicea"
"29","Eucalyptus","sphaerocarpa"
"30","Eucalyptus","tetrodonta"
